Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Transmission,Body type,Fuel type,Engine capacity,Mileage
4900000.0,Dfsk,Glory,330,2018,Manual,Mpv,Petrol,1500.0,90000.0
29500000.0,Land Rover,Range Rover Velar,R Dynamic,2018,Automatic,Suv / 4X4,Diesel,1990.0,127000.0
47000000.0,Mercedes Benz,S500,S500 Plus Hybrid,2015,Tiptronic,Saloon,Petrol,2996.0,112000.0
4000000.0,Suzuki,A-Star,Unknown,2012,Manual,Hatchback,Petrol,1000.0,120000.0
9450000.0,Honda,Grace,Ex,2017,Automatic,Unknown,Hybrid,1500.0,142098.0
3850000.0,Maruti Suzuki,Alto,Japan,2004,Automatic,Hatchback,Petrol,650.0,159465.0
6500000.0,Toyota,Vitz,Unknown,2007,Automatic,Hatchback,Petrol,1000.0,115000.0
2950000.0,Toyota,Corolla,Ce 108,1997,Automatic,Station Wagon,Diesel,2000.0,330000.0
2375000.0,Chery,Qq,Unknown,2007,Automatic,Hatchback,Petrol,812.0,89370.0
14300000.0,Mitsubishi,Outlander,Phev G Navi,2015,Automatic,Suv / 4X4,Hybrid,1990.0,124000.0
4350000.0,Nissan,Sunny,Nissan Sunny N16,2007,Manual,Saloon,Petrol,1300.0,172000.0
39500000.0,Land Rover,Discovery,5 Diesel,2020,Tiptronic,Suv / 4X4,Diesel,2000.0,104000.0
2695000.0,Tata,Indica,Xeta Olx,2015,Manual,Hatchback,Petrol,1193.0,101000.0
6799000.0,Suzuki,Wagon R,Stingray,2018,Automatic,Hatchback,Petrol,660.0,55000.0
8700000.0,Mg,Zs,Fully Loaded,2019,Automatic,Suv / 4X4,Petrol,999.0,103000.0
10740000.0,Toyota,Premio,Unknown,2013,Automatic,Saloon,Petrol,1500.0,200000.0
25000000.0,Toyota,Fortuner,Facelift,2017,Tiptronic,Suv / 4X4,Petrol,2700.0,19000.0
16500000.0,Chrysler,300,V6 3600Cc,2013,Automatic,Saloon,Petrol,3600.0,107000.0
2995000.0,Micro,Panda,Micro,2012,Manual,Hatchback,Petrol,1000.0,98656.0
5000000.0,Suzuki,Swift,Center Antena,2005,Manual,Hatchback,Petrol,1300.0,123900.0
3600000.0,Renault,Kwid,Unknown,2016,Manual,Hatchback,Petrol,800.0,38500.0
11600000.0,Dfsk,Glory,Dfsk 2023 I Auto,2023,Automatic,Suv / 4X4,Petrol,1500.0,35000.0
2095000.0,Suzuki,Maruti,800,2006,Manual,Saloon,Petrol,800.0,15935.0
4250000.0,Suzuki,Swift,Unknown,2004,Automatic,Hatchback,Petrol,1300.0,165000.0
5800000.0,Suzuki,Wagon R Fx,Unknown,2015,Automatic,Hatchback,Petrol,660.0,98000.0
10800000.0,Bmw,320I,Lci,2011,Automatic,Saloon,Petrol,2000.0,62000.0
2495000.0,Suzuki,Maruti,800,2011,Manual,Hatchback,Petrol,800.0,29970.0
6500000.0,Suzuki,Wagon R Fz,Non Safety,2017,Automatic,Hatchback,Hybrid,650.0,96000.0
8950000.0,Honda,Grace,Ex 2015,2015,Automatic,Saloon,Hybrid,1500.0,196500.0
2000000.0,Nissan,Pulsar,Unknown,1993,Manual,Unknown,Petrol,1490.0,375000.0
3900000.0,Hyundai,Eon,Magna Plus,2015,Manual,Hatchback,Petrol,800.0,87500.0
5950000.0,Toyota,Belta,2007,2007,Automatic,Saloon,Petrol,1300.0,176000.0
13500000.0,Audi,Q2,S - Line,2018,Tiptronic,Hatchback,Petrol,1000.0,55000.0
24500000.0,Mercedes Benz,C200,Amg Premium,2018,Automatic,Saloon,Petrol,1500.0,60000.0
17850000.0,Bmw,520D,Low Mileage,2012,Automatic,Station Wagon,Diesel,2000.0,85000.0
