Selling Price,Brand,Model,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage
4900000.0,DFSK,Glory,330,2018,Used,Manual,MPV,Petrol,1500.0,90000.0
29500000.0,Land Rover,Range Rover Velar,R Dynamic,2018,Used,Automatic,SUV / 4x4,Diesel,1990.0,127000.0
47000000.0,Mercedes Benz,S500,S500 PLUS HYBRID,2015,Used,Tiptronic,Saloon,Petrol,2996.0,112000.0
4000000.0,Suzuki,A-Star,,2012,Used,Manual,Hatchback,Petrol,1000.0,120000.0
9450000.0,Honda,Grace,EX,2017,Used,Automatic,,Hybrid,1500.0,142098.0
3850000.0,Maruti Suzuki,Alto,Japan,2004,Used,Automatic,Hatchback,Petrol,650.0,159465.0
6500000.0,Toyota,Vitz,,2007,Used,Automatic,Hatchback,Petrol,1000.0,115000.0
2950000.0,Toyota,Corolla,CE 108,1997,Used,Automatic,Station wagon,Diesel,2000.0,330000.0
2375000.0,Chery,QQ,,2007,Used,Automatic,Hatchback,Petrol,812.0,89370.0
14300000.0,Mitsubishi,Outlander,PHEV G Navi,2015,Used,Automatic,SUV / 4x4,Hybrid,1990.0,124000.0
4350000.0,Nissan,Sunny,Nissan Sunny N16,2007,Used,Manual,Saloon,Petrol,1300.0,172000.0
39500000.0,Land Rover,Discovery,5 Diesel,2020,Used,Tiptronic,SUV / 4x4,Diesel,2000.0,104000.0
2650000.0,Toyota,Other Model,HIACE,1984,Used,Manual,,Diesel,2400.0,200000.0
2695000.0,Tata,Indica,XETA OLX,2015,Used,Manual,Hatchback,Petrol,1193.0,101000.0
6799000.0,Suzuki,Wagon R,Stingray,2018,Used,Automatic,Hatchback,Petrol,660.0,55000.0
8700000.0,MG,ZS,Fully loaded ,2019,Used,Automatic,SUV / 4x4,Petrol,999.0,103000.0
10740000.0,Toyota,Premio,,2013,Used,Automatic,Saloon,Petrol,1500.0,200000.0
25000000.0,Toyota,Fortuner,Facelift,2017,Used,Tiptronic,SUV / 4x4,Petrol,2700.0,19000.0
16500000.0,Chrysler,300,V6 3600CC,2013,Used,Automatic,Saloon,Petrol,3600.0,107000.0
2995000.0,Micro,Panda,Micro,2012,Used,Manual,Hatchback,Petrol,1000.0,98656.0
5000000.0,Suzuki,Swift,Center Antena,2005,Used,Manual,Hatchback,Petrol,1300.0,123900.0
3600000.0,Renault,KWID,,2016,Used,Manual,Hatchback,Petrol,800.0,38500.0
11600000.0,DFSK,Glory,DFSK 2023 I Auto,2023,Used,Automatic,SUV / 4x4,Petrol,1500.0,35000.0
2095000.0,Suzuki,Maruti,800,2006,Used,Manual,Saloon,Petrol,800.0,15935.0
4250000.0,Suzuki,Swift,,2004,Used,Automatic,Hatchback,Petrol,1300.0,165000.0
5800000.0,Suzuki,Wagon R FX,,2015,Used,Automatic,Hatchback,Petrol,660.0,98000.0
10800000.0,BMW,320i,LCI,2011,Used,Automatic,Saloon,Petrol,2000.0,62000.0
2495000.0,Suzuki,Maruti,800,2011,Used,Manual,Hatchback,Petrol,800.0,29970.0
6500000.0,Suzuki,Wagon R FZ,Non Safety,2017,Used,Automatic,Hatchback,Hybrid,650.0,96000.0
8950000.0,Honda,Grace,Ex 2015,2015,Used,Automatic,Saloon,Hybrid,1500.0,196500.0
2000000.0,Nissan,Pulsar,,1993,Used,Manual,,Petrol,1490.0,375000.0
3900000.0,Hyundai,Eon,Magna Plus,2015,Used,Manual,Hatchback,Petrol,800.0,87500.0
4900000.0,BMW,520i,E34,1988,Used,Manual,Saloon,Petrol,2000.0,115000.0
5950000.0,Toyota,Belta,2007,2007,Used,Automatic,Saloon,Petrol,1300.0,176000.0
13500000.0,Audi,Q2,S - LINE,2018,Used,Tiptronic,Hatchback,Petrol,1000.0,55000.0
24500000.0,Mercedes Benz,C200,AMG Premium,2018,Used,Automatic,Saloon,Petrol,1500.0,60000.0
17850000.0,BMW,520d,Low Mileage,2012,Used,Automatic,Station wagon,Diesel,2000.0,85000.0
2595000.0,Nissan,March,990,1994,Used,Automatic,Saloon,Petrol,990.0,89412.0
18500000.0,Audi,A4,,2017,Used,Automatic,Saloon,Petrol,1400.0,28000.0
7490000.0,Honda,Fit,"GP5 1ST OWN 58,000KM",2014,Used,Automatic,Hatchback,Hybrid,1500.0,58000.0
10850000.0,Toyota,Axio,Hybrid G Grade,2019,Used,Automatic,Saloon,Hybrid,1500.0,92300.0
99500000.0,Lexus,LS500h,Executive Lounge ,2023,Used,Automatic,Saloon,Hybrid,3500.0,9000.0
13500000.0,Toyota,RAV4,,2015,Used,Automatic,SUV / 4x4,Petrol,2400.0,93000.0
18500000.0,BMW,520d,Facelift,2013,Used,Automatic,Saloon,Diesel,2000.0,224000.0
8575000.0,Micro,Rexton,,2008,Used,Automatic,SUV / 4x4,Diesel,2696.0,117449.0
8150000.0,Toyota,Passo,XL Safety,2023,Used,Automatic,Hatchback,Petrol,1000.0,24500.0
6450000.0,Toyota,Corolla,121 G,2006,Used,Automatic,,Petrol,1500.0,137250.0
8775000.0,Honda,Fit,Hybrid GP5 S Grade,2017,Used,Automatic,,Hybrid,1500.0,69600.0
9275000.0,Honda,Vezel,Z Grade,2015,Used,Automatic,,Hybrid,1500.0,135100.0
8650000.0,Honda,Vezel,,2014,Used,Automatic,Hatchback,Hybrid,1500.0,181000.0
5695000.0,Nissan,Tiida,,2007,Used,Automatic,,Petrol,1498.0,89932.0
10600000.0,Toyota,Axio,,2015,Used,Automatic,Saloon,Hybrid,1500.0,173000.0
13195000.0,Toyota,Axio,WXB,2017,Used,Automatic,Saloon,Hybrid,1500.0,109000.0
69500000.0,Toyota,TUNDRA,1MHV Limited,2024,Used,Tiptronic,SUV / 4x4,Petrol,3500.0,10000.0
3450000.0,Micro,Panda,Micro,2017,Used,Manual,Hatchback,Petrol,1000.0,34600.0
115000000.0,BMW,i7,M-Sport Registered ,2024,Used,Automatic,Saloon,Electric,400.0,18000.0
6840000.0,Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Petrol,660.0,82123.0
9750000.0,Toyota,Premio,G Grade,2012,Used,Automatic,Saloon,Petrol,1500.0,175000.0
11800000.0,Ford,Kuga,SUV 2015,2015,Used,Automatic,SUV / 4x4,Petrol,1500.0,134000.0
17850000.0,BMW,520d,M Sport ,2012,Used,Automatic,Saloon,Diesel,2000.0,140000.0
7600000.0,Toyota,Vitz,Safety Edition,2016,Used,Automatic,Hatchback,Petrol,1000.0,62000.0
3875000.0,Perodua,Viva Elite,,2010,Used,Manual,Hatchback,Petrol,1000.0,80700.0
8200000.0,Toyota,Vitz,,2018,Used,Automatic,Hatchback,Petrol,998.0,51160.0
9500000.0,Toyota,Axio,Hybrid G Grade,2014,Used,Automatic,Saloon,Hybrid,1499.0,132000.0
10700000.0,Toyota,Premio,G Superior,2013,Used,Automatic,Saloon,Petrol,1800.0,132000.0
3470000.0,Suzuki,Alto,,2003,Used,Automatic,Hatchback,Petrol,680.0,120000.0
13800000.0,Mitsubishi,Outlander,Fully Loaded,2016,Used,Tiptronic,SUV / 4x4,Petrol,2400.0,154000.0
